team,players_used,avg_age,possession,games_played,goals,assists,pens_made,pens_attempted,cards_yellow,cards_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,league,xg,npxg,xg_assist,progressive_carries,progressive_passes,ball_recoveries,aerials_won,aerials_lost
Auxerre,26,25.8,,38,32,19,2,4,64,3.0,616.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Bordeaux,22,27.1,,38,64,31,6,8,75,5.0,673.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Caen,27,26.6,,38,46,23,5,6,64,2.0,674.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Le Mans,27,23.5,,38,46,25,3,4,67,6.0,684.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lens,29,26.7,,38,42,17,6,7,60,3.0,590.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lille,32,24.7,,38,44,22,6,6,65,4.0,721.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lorient,24,27.1,,38,31,17,3,4,39,0.0,572.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lyon,27,26.4,,38,72,49,3,3,59,3.0,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Marseille,31,24.9,,38,58,33,1,2,58,3.0,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Metz,38,25.7,,38,27,14,3,3,82,4.0,694.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Monaco,30,26.1,,38,40,19,2,3,86,4.0,767.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Nancy,21,26.0,,38,43,26,3,3,68,4.0,703.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Nice,25,27.3,,38,34,21,4,7,72,2.0,620.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Paris S-G,27,26.3,,38,36,18,3,4,57,0.0,569.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Rennes,29,26.5,,38,45,27,0,1,60,2.0,660.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Saint-Étienne,23,24.6,,38,45,26,4,4,70,4.0,671.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Sochaux,26,26.6,,38,32,20,3,4,73,1.0,679.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
