team,players_used,avg_age,possession,games_played,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_attempted,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,league,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Auxerre,26,25.8,,38,418,3420,38.0,32,19,51,30,2,4,64,3.0,0.84,0.5,1.34,0.79,1.29,,616.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Bordeaux,22,27.1,,38,418,3420,38.0,64,31,95,58,6,8,75,5.0,1.68,0.82,2.5,1.53,2.34,,673.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Caen,27,26.6,,38,418,3420,38.0,46,23,69,41,5,6,64,2.0,1.21,0.61,1.82,1.08,1.68,,674.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Le Mans,27,23.5,,38,418,3420,38.0,46,25,71,43,3,4,67,6.0,1.21,0.66,1.87,1.13,1.79,,684.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lens,29,26.7,,38,418,3420,38.0,42,17,59,36,6,7,60,3.0,1.11,0.45,1.55,0.95,1.39,,590.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lille,32,24.7,,38,418,3420,38.0,44,22,66,38,6,6,65,4.0,1.16,0.58,1.74,1.0,1.58,,721.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lorient,24,27.1,,38,418,3420,38.0,31,17,48,28,3,4,39,0.0,0.82,0.45,1.26,0.74,1.18,,572.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lyon,27,26.4,,38,418,3420,38.0,72,49,121,69,3,3,59,3.0,1.89,1.29,3.18,1.82,3.11,,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Marseille,31,24.9,,38,418,3420,38.0,58,33,91,57,1,2,58,3.0,1.53,0.87,2.39,1.5,2.37,,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Metz,38,25.7,,38,418,3420,38.0,27,14,41,24,3,3,82,4.0,0.71,0.37,1.08,0.63,1.0,,694.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Monaco,30,26.1,,38,418,3420,38.0,40,19,59,38,2,3,86,4.0,1.05,0.5,1.55,1.0,1.5,,767.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
