team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Auxerre,25,23.8,,34,374,"3,060",34.0,47,29,76,42,5,6,58,3,1.38,0.85,2.24,1.24,2.09,25,34.0,58,3,,,,,,,,,,
Bastia,30,25.5,,34,374,"3,060",34.0,37,22,59,31,6,8,72,9,1.09,0.65,1.74,0.91,1.56,30,34.0,72,9,,,,,,,,,,
Bordeaux,29,26.4,,34,374,"3,060",34.0,33,21,54,28,5,5,57,6,0.97,0.62,1.59,0.82,1.44,29,34.0,57,6,,,,,,,,,,
Guingamp,27,26.9,,34,374,"3,060",34.0,34,20,54,33,1,2,80,6,1.00,0.59,1.59,0.97,1.56,27,34.0,80,6,,,,,,,,,,
Lens,24,27.4,,34,376,"3,060",34.0,54,30,84,50,4,4,68,2,1.59,0.88,2.47,1.47,2.35,24,34.0,68,2,,,,,,,,,,
Lille,27,25.5,,34,374,"3,060",34.0,36,22,58,33,3,3,70,5,1.06,0.65,1.71,0.97,1.62,27,34.0,70,5,,,,,,,,,,
Lorient,27,25.9,,34,374,"3,060",34.0,42,22,64,39,3,3,60,1,1.24,0.65,1.88,1.15,1.79,27,34.0,60,1,,,,,,,,,,
Lyon,22,27.2,,34,375,"3,060",34.0,56,38,94,53,3,4,47,4,1.65,1.12,2.76,1.56,2.68,22,34.0,47,4,,,,,,,,,,
Marseille,36,25.7,,34,370,"3,060",34.0,34,17,51,30,4,5,75,4,1.00,0.50,1.50,0.88,1.38,36,34.0,75,4,,,,,,,,,,
Metz,30,27.0,,34,373,"3,060",34.0,30,20,50,28,2,2,72,7,0.88,0.59,1.47,0.82,1.41,30,34.0,72,7,,,,,,,,,,
Monaco,35,25.3,,34,378,"3,060",34.0,36,20,56,31,5,5,92,5,1.06,0.59,1.65,0.91,1.50,35,34.0,92,5,,,,,,,,,,
Montpellier,29,25.4,,34,374,"3,060",34.0,26,14,40,25,1,1,74,6,0.76,0.41,1.18,0.74,1.15,29,34.0,74,6,,,,,,,,,,
Nantes,30,25.4,,34,373,"3,060",34.0,34,26,60,31,3,5,66,5,1.00,0.76,1.76,0.91,1.68,30,34.0,66,5,,,,,,,,,,
Paris S-G,29,25.8,,34,375,"3,060",34.0,43,26,69,39,4,4,82,5,1.26,0.76,2.03,1.15,1.91,29,34.0,82,5,,,,,,,,,,
Rennes,29,26.0,,34,374,"3,060",34.0,39,17,56,32,7,7,63,3,1.15,0.50,1.65,0.94,1.44,29,34.0,63,3,,,,,,,,,,
Sedan,31,26.6,,34,375,"3,060",34.0,32,18,50,30,2,2,75,8,0.94,0.53,1.47,0.88,1.41,31,34.0,75,8,,,,,,,,,,
Sochaux,24,26.4,,34,374,"3,060",34.0,38,24,62,35,3,4,64,1,1.12,0.71,1.82,1.03,1.74,24,34.0,64,1,,,,,,,,,,
Troyes,33,26.9,,34,374,"3,060",34.0,40,17,57,39,1,3,58,4,1.18,0.50,1.68,1.15,1.65,33,34.0,58,4,,,,,,,,,,
