team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Bayern Munich,25,26.9,,34,374,"3,060",34.0,68,44,112,66,2,3,46,1,2.00,1.29,3.29,1.94,3.24,25,34.0,46,1,,492,,,,,,,,
Bochum,28,27.5,,34,374,"3,060",34.0,31,21,52,31,0,0,73,4,0.91,0.62,1.53,0.91,1.53,28,34.0,73,4,,542,,,,,,,,
Dortmund,25,24.5,,34,374,"3,060",34.0,51,32,83,48,3,4,50,0,1.50,0.94,2.44,1.41,2.35,25,34.0,50,0,,519,,,,,,,,
Eint Frankfurt,30,27.5,,34,374,"3,060",34.0,47,26,73,45,2,3,68,5,1.38,0.76,2.15,1.32,2.09,30,34.0,68,5,,573,,,,,,,,
Freiburg,28,26.1,,34,374,"3,060",34.0,34,20,54,33,1,1,52,0,1.00,0.59,1.59,0.97,1.56,28,34.0,52,0,,556,,,,,,,,
Gladbach,24,25.7,,34,374,"3,060",34.0,39,23,62,38,1,1,48,1,1.15,0.68,1.82,1.12,1.79,24,34.0,48,1,,537,,,,,,,,
Hamburger SV,26,27.1,,34,374,"3,060",34.0,54,30,84,52,2,2,56,3,1.59,0.88,2.47,1.53,2.41,26,34.0,56,3,,592,,,,,,,,
Hannover 96,32,26.7,,34,375,"3,060",34.0,40,24,64,38,2,2,69,3,1.18,0.71,1.88,1.12,1.82,32,34.0,69,3,,569,,,,,,,,
Hertha BSC,28,26.0,,34,374,"3,060",34.0,34,18,52,34,0,1,60,2,1.00,0.53,1.53,1.00,1.53,28,34.0,60,2,,429,,,,,,,,
Hoffenheim,28,24.8,,34,374,"3,060",34.0,44,24,68,39,5,6,67,3,1.29,0.71,2.00,1.15,1.85,28,34.0,67,3,,595,,,,,,,,
Köln,26,27.6,,34,374,"3,060",34.0,32,22,54,31,1,1,72,4,0.94,0.65,1.59,0.91,1.56,26,34.0,72,4,,555,,,,,,,,
Leverkusen,24,24.6,,34,374,"3,060",34.0,65,35,100,61,4,4,71,3,1.91,1.03,2.94,1.79,2.82,24,34.0,71,3,,490,,,,,,,,
Mainz 05,29,27.2,,34,374,"3,060",34.0,36,12,48,34,2,2,61,4,1.06,0.35,1.41,1.00,1.35,29,34.0,61,4,,532,,,,,,,,
Nürnberg,27,24.7,,34,374,"3,060",34.0,32,22,54,31,1,1,58,2,0.94,0.65,1.59,0.91,1.56,27,34.0,58,2,,485,,,,,,,,
Schalke 04,29,24.3,,34,374,"3,060",34.0,53,35,88,48,5,5,62,1,1.56,1.03,2.59,1.41,2.44,29,34.0,62,1,,678,,,,,,,,
Stuttgart,28,25.7,,34,374,"3,060",34.0,50,30,80,48,2,3,73,2,1.47,0.88,2.35,1.41,2.29,28,34.0,73,2,,518,,,,,,,,
Werder Bremen,26,25.9,,34,374,"3,060",34.0,70,44,114,64,6,7,54,2,2.06,1.29,3.35,1.88,3.18,26,34.0,54,2,,529,,,,,,,,
Wolfsburg,26,26.4,,34,374,"3,060",34.0,62,37,99,58,4,5,61,1,1.82,1.09,2.91,1.71,2.79,26,34.0,61,1,,503,,,,,,,,
