team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arsenal,27,24.8,,38,418,"3,420",38.0,70,51,121,66,4,7,70,6,1.84,1.34,3.18,1.74,3.08,27,38.0,70,6,,442,,,,,,,,
Aston Villa,32,27.5,,38,418,"3,420",38.0,45,32,77,41,4,6,71,2,1.18,0.84,2.03,1.08,1.92,32,38.0,71,2,,448,,,,,,,,
Birmingham City,26,28.0,,38,418,"3,420",38.0,37,23,60,35,2,2,59,3,0.97,0.61,1.58,0.92,1.53,26,38.0,59,3,,420,,,,,,,,
Blackburn,29,27.8,,38,418,"3,420",38.0,43,28,71,42,1,2,66,5,1.13,0.74,1.87,1.11,1.84,29,38.0,66,5,,465,,,,,,,,
Blackpool,30,26.8,,38,418,"3,420",38.0,54,29,83,47,7,8,47,2,1.42,0.76,2.18,1.24,2.00,30,38.0,47,2,,433,,,,,,,,
Bolton,24,28.1,,38,418,"3,420",38.0,50,34,84,46,4,5,70,5,1.32,0.89,2.21,1.21,2.11,24,38.0,70,5,,503,,,,,,,,
Chelsea,24,28.2,,38,418,"3,420",38.0,68,39,107,62,6,8,56,1,1.79,1.03,2.82,1.63,2.66,24,38.0,56,1,,433,,,,,,,,
Everton,24,28.1,,38,418,"3,420",38.0,50,33,83,47,3,4,60,5,1.32,0.87,2.18,1.24,2.11,24,38.0,60,5,,482,,,,,,,,
Fulham,29,29.8,,38,418,"3,420",38.0,48,32,80,46,2,3,52,1,1.26,0.84,2.11,1.21,2.05,29,38.0,52,1,,477,,,,,,,,
Liverpool,30,26.9,,38,418,"3,420",38.0,58,30,88,51,7,8,64,2,1.53,0.79,2.32,1.34,2.13,30,38.0,64,2,,458,,,,,,,,
Manchester City,27,25.4,,38,418,"3,420",38.0,56,35,91,48,8,9,76,5,1.47,0.92,2.39,1.26,2.18,27,38.0,76,5,,481,,,,,,,,
Manchester Utd,29,28.3,,38,418,"3,420",38.0,75,59,134,72,3,5,59,3,1.97,1.55,3.53,1.89,3.45,29,38.0,59,3,,420,,,,,,,,
Newcastle Utd,30,26.3,,38,418,"3,420",38.0,55,35,90,50,5,5,76,2,1.45,0.92,2.37,1.32,2.24,30,38.0,76,2,,462,,,,,,,,
Stoke City,25,27.6,,38,418,"3,420",38.0,44,28,72,41,3,3,70,2,1.16,0.74,1.89,1.08,1.82,25,38.0,70,2,,428,,,,,,,,
Sunderland,31,25.0,,38,418,"3,420",38.0,41,23,64,37,4,5,64,5,1.08,0.61,1.68,0.97,1.58,31,38.0,64,5,,432,,,,,,,,
Tottenham,28,26.6,,38,418,"3,420",38.0,54,34,88,49,5,5,51,2,1.42,0.89,2.32,1.29,2.18,28,38.0,51,2,,382,,,,,,,,
West Brom,28,26.7,,38,418,"3,420",38.0,52,37,89,48,4,6,55,7,1.37,0.97,2.34,1.26,2.24,28,38.0,55,7,,425,,,,,,,,
West Ham,35,27.9,,38,418,"3,420",38.0,41,21,62,36,5,6,59,1,1.08,0.55,1.63,0.95,1.50,35,38.0,59,1,,447,,,,,,,,
Wigan Athletic,25,25.8,,38,418,"3,420",38.0,37,20,57,35,2,3,69,4,0.97,0.53,1.50,0.92,1.45,25,38.0,69,4,,484,,,,,,,,
Wolves,30,25.8,,38,418,"3,420",38.0,45,29,74,42,3,3,63,2,1.18,0.76,1.95,1.11,1.87,30,38.0,63,2,,473,,,,,,,,
