team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Athletic Club,22,24.4,,38,418,"3,420",38.0,49,33,82,48,1,2,116,8,1.29,0.87,2.16,1.26,2.13,22,38.0,116,8,,551,,,,,,,,
Atlético Madrid,24,25.1,,38,418,"3,420",38.0,51,32,83,46,5,6,132,4,1.34,0.84,2.18,1.21,2.05,24,38.0,132,4,,675,,,,,,,,
Barcelona,29,26.6,,38,418,"3,420",38.0,112,69,181,102,10,11,81,4,2.95,1.82,4.76,2.68,4.50,29,38.0,81,4,,400,,,,,,,,
Betis,31,27.4,,38,418,"3,420",38.0,47,25,72,44,3,3,107,7,1.24,0.66,1.89,1.16,1.82,31,38.0,107,7,,536,,,,,,,,
Espanyol,29,24.2,,38,418,"3,420",38.0,45,32,77,44,1,1,135,6,1.18,0.84,2.03,1.16,2.00,29,38.0,135,6,,588,,,,,,,,
Getafe,29,27.6,,38,418,"3,420",38.0,38,20,58,35,3,3,134,8,1.00,0.53,1.53,0.92,1.45,29,38.0,134,8,,583,,,,,,,,
Granada,25,26.5,,38,418,"3,420",38.0,35,18,53,31,4,4,116,10,0.92,0.47,1.39,0.82,1.29,25,38.0,116,10,,439,,,,,,,,
Levante,27,30.4,,38,418,"3,420",38.0,54,30,84,46,8,8,125,4,1.42,0.79,2.21,1.21,2.00,27,38.0,125,4,,484,,,,,,,,
Málaga,26,27.3,,38,418,"3,420",38.0,51,26,77,50,1,2,77,7,1.34,0.68,2.03,1.32,2.00,26,38.0,77,7,,426,,,,,,,,
Mallorca,28,26.4,,38,418,"3,420",38.0,38,25,63,33,5,5,122,6,1.00,0.66,1.66,0.87,1.53,28,38.0,122,6,,673,,,,,,,,
Osasuna,28,27.8,,38,418,"3,420",38.0,43,30,73,42,1,2,110,8,1.13,0.79,1.92,1.11,1.89,28,38.0,110,8,,576,,,,,,,,
Racing Sant,32,25.6,,38,418,"3,420",38.0,27,21,48,23,4,4,121,8,0.71,0.55,1.26,0.61,1.16,32,38.0,121,8,,600,,,,,,,,
Rayo Vallecano,32,26.8,,38,418,"3,420",38.0,51,26,77,46,5,6,129,3,1.34,0.68,2.03,1.21,1.89,32,38.0,129,3,,612,,,,,,,,
Real Madrid,25,26.1,,38,418,"3,420",38.0,120,85,205,108,12,13,97,5,3.16,2.24,5.39,2.84,5.08,25,38.0,97,5,,521,,,,,,,,
Real Sociedad,24,25.0,,38,418,"3,420",38.0,45,27,72,45,0,1,85,8,1.18,0.71,1.89,1.18,1.89,24,38.0,85,8,,463,,,,,,,,
Sevilla,28,26.9,,38,418,"3,420",38.0,47,32,79,46,1,4,116,8,1.24,0.84,2.08,1.21,2.05,28,38.0,116,8,,494,,,,,,,,
Sporting Gijón,30,26.4,,38,418,"3,420",38.0,41,21,62,38,3,3,125,5,1.08,0.55,1.63,1.00,1.55,30,38.0,125,5,,640,,,,,,,,
Valencia,26,25.9,,38,418,"3,420",38.0,55,34,89,52,3,4,129,7,1.45,0.89,2.34,1.37,2.26,26,38.0,129,7,,639,,,,,,,,
Villarreal,28,26.6,,38,418,"3,420",38.0,38,22,60,32,6,10,103,5,1.00,0.58,1.58,0.84,1.42,28,38.0,103,5,,535,,,,,,,,
Zaragoza,28,27.1,,38,418,"3,420",38.0,35,20,55,31,4,6,126,9,0.92,0.53,1.45,0.82,1.34,28,38.0,126,9,,658,,,,,,,,
