team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Atalanta,31,28.4,,38,418,"3,420",38.0,43,32,75,41,2,3,90,0,1.13,0.84,1.97,1.08,1.92,31,38.0,90,0,,495,,,,,,,,
Bologna,28,28.6,,38,418,"3,420",38.0,28,12,40,23,5,6,104,0,0.74,0.32,1.05,0.61,0.92,28,38.0,104,0,,594,,,,,,,,
Cagliari,31,27.2,,38,418,"3,420",38.0,34,21,55,29,5,8,104,0,0.89,0.55,1.45,0.76,1.32,31,38.0,104,0,,562,,,,,,,,
Catania,34,27.2,,38,418,"3,420",38.0,34,23,57,31,3,3,102,0,0.89,0.61,1.50,0.82,1.42,34,38.0,102,0,,613,,,,,,,,
Chievo,36,28.9,,38,418,"3,420",38.0,33,24,57,27,6,7,107,0,0.87,0.63,1.50,0.71,1.34,36,38.0,107,0,,618,,,,,,,,
Fiorentina,31,27.7,,38,418,"3,420",38.0,65,41,106,54,11,11,90,0,1.71,1.08,2.79,1.42,2.50,31,38.0,90,0,,445,,,,,,,,
Genoa,31,27.2,,38,418,"3,420",38.0,39,23,62,34,5,9,100,0,1.03,0.61,1.63,0.89,1.50,31,38.0,100,0,,574,,,,,,,,
Hellas Verona,29,28.4,,38,418,"3,420",38.0,60,38,98,52,8,8,71,0,1.58,1.00,2.58,1.37,2.37,29,38.0,71,0,,488,,,,,,,,
Inter,28,27.6,,38,418,"3,420",38.0,59,48,107,59,0,1,73,0,1.55,1.26,2.82,1.55,2.82,28,38.0,73,0,,483,,,,,,,,
Juventus,26,28.3,,38,418,"3,420",38.0,78,54,132,74,4,4,70,0,2.05,1.42,3.47,1.95,3.37,26,38.0,70,0,,541,,,,,,,,
Lazio,30,28.0,,38,418,"3,420",38.0,51,30,81,44,7,8,90,0,1.34,0.79,2.13,1.16,1.95,30,38.0,90,0,,581,,,,,,,,
Livorno,31,25.7,,38,418,"3,420",38.0,37,23,60,33,4,4,115,0,0.97,0.61,1.58,0.87,1.47,31,38.0,115,0,,545,,,,,,,,
Milan,32,28.0,,38,418,"3,420",38.0,55,33,88,52,3,5,92,0,1.45,0.87,2.32,1.37,2.24,32,38.0,92,0,,555,,,,,,,,
Napoli,30,27.1,,38,418,"3,420",38.0,76,51,127,69,7,9,79,0,2.00,1.34,3.34,1.82,3.16,30,38.0,79,0,,456,,,,,,,,
Parma,30,29.5,,38,418,"3,420",38.0,56,38,94,53,3,6,103,0,1.47,1.00,2.47,1.39,2.39,30,38.0,103,0,,588,,,,,,,,
Roma,29,27.5,,38,417,"3,420",38.0,70,51,121,64,6,6,87,0,1.84,1.34,3.18,1.68,3.03,29,38.0,87,0,,473,,,,,,,,
Sampdoria,33,25.3,,38,418,"3,420",38.0,46,29,75,42,4,5,110,0,1.21,0.76,1.97,1.11,1.87,33,38.0,110,0,,644,,,,,,,,
Sassuolo,38,26.5,,38,418,"3,420",38.0,43,25,68,36,7,8,101,0,1.13,0.66,1.79,0.95,1.61,38,38.0,101,0,,594,,,,,,,,
Torino,26,27.1,,38,418,"3,420",38.0,57,35,92,52,5,8,94,0,1.50,0.92,2.42,1.37,2.29,26,38.0,94,0,,471,,,,,,,,
Udinese,27,25.8,,38,418,"3,420",38.0,45,25,70,39,6,8,85,0,1.18,0.66,1.84,1.03,1.68,27,38.0,85,0,,502,,,,,,,,
