team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,28,26.7,58.1,38,418,"3,420",38.0,69,52,121,65,4,5,74,2,60.1,56.0,46.7,102.7,868,1874,1.82,1.37,3.18,1.71,3.08,1.58,1.23,2.81,1.47,2.70,28,38.0,74,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6
Bournemouth,28,26.6,46.9,38,418,"3,420",38.0,55,43,98,48,7,9,60,1,53.3,46.2,38.8,85.0,738,1435,1.45,1.13,2.58,1.26,2.39,1.40,1.02,2.42,1.22,2.24,28,38.0,60,1,0,340,441,57,613,371,299,8,5,3,1910,701,736,48.8
Brighton,21,27.4,42.4,38,418,"3,420",38.0,35,24,59,30,5,6,62,4,35.3,30.7,24.5,55.2,475,1150,0.92,0.63,1.55,0.79,1.42,0.93,0.64,1.57,0.81,1.45,21,38.0,62,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4
Burnley,23,28.0,41.2,38,418,"3,420",38.0,43,32,75,41,2,2,75,1,44.4,42.8,31.2,74.0,421,1032,1.13,0.84,1.97,1.08,1.92,1.17,0.82,1.99,1.13,1.95,23,38.0,75,1,0,360,356,106,692,367,311,1,3,4,1955,1016,1025,49.8
Cardiff City,25,27.7,35.4,38,418,"3,420",38.0,33,20,53,30,3,4,66,1,42.4,39.2,27.6,66.8,434,918,0.87,0.53,1.39,0.79,1.32,1.11,0.73,1.84,1.03,1.76,25,38.0,66,1,0,374,390,77,562,529,375,2,7,0,1975,966,966,50.0
Chelsea,24,27.3,62.9,38,418,"3,420",38.0,61,52,113,56,5,5,49,0,58.6,54.6,44.9,99.6,1058,2155,1.61,1.37,2.97,1.47,2.84,1.54,1.18,2.72,1.44,2.62,24,38.0,49,0,0,339,424,83,692,353,365,5,2,0,2171,523,504,50.9
Crystal Palace,26,27.4,45.2,38,418,"3,420",38.0,48,33,81,38,10,11,59,2,47.6,39.2,29.5,68.7,771,1458,1.26,0.87,2.13,1.00,1.87,1.25,0.78,2.03,1.03,1.81,26,38.0,59,2,1,386,391,78,577,445,446,10,5,1,1996,680,706,49.1
Everton,23,25.7,51.5,38,418,"3,420",38.0,53,34,87,51,2,5,57,4,49.7,45.7,33.7,79.4,697,1581,1.39,0.89,2.29,1.34,2.24,1.31,0.89,2.19,1.20,2.09,23,38.0,57,4,1,432,418,69,814,453,441,4,5,2,2157,872,877,49.9
Fulham,28,26.0,48.8,38,418,"3,420",38.0,33,24,57,31,2,3,72,2,41.3,39.0,30.0,69.0,628,1487,0.87,0.63,1.50,0.82,1.45,1.09,0.79,1.88,1.03,1.82,28,38.0,72,2,2,423,342,90,611,434,362,2,7,2,2072,742,718,50.8
Huddersfield,31,26.2,47.2,38,418,"3,420",38.0,21,13,34,20,1,1,57,4,28.8,28.0,19.9,47.9,601,1248,0.55,0.34,0.89,0.53,0.87,0.76,0.52,1.28,0.74,1.26,31,38.0,57,4,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1
Leicester City,25,25.9,50.9,38,418,"3,420",38.0,48,34,82,43,5,7,63,5,52.4,47.3,37.6,84.9,752,1537,1.26,0.89,2.16,1.13,2.03,1.38,0.99,2.37,1.24,2.23,25,38.0,63,5,3,351,378,72,779,438,393,6,5,0,2087,811,679,54.4
Liverpool,23,26.1,61.8,38,418,"3,420",38.0,86,55,141,79,7,7,41,2,73.7,68.4,49.8,118.2,857,2008,2.26,1.45,3.71,2.08,3.53,1.94,1.31,3.25,1.80,3.11,23,38.0,41,2,2,315,347,77,721,314,377,7,1,0,2111,593,587,50.3
Manchester City,21,26.7,67.9,38,418,"3,420",38.0,91,71,162,88,3,4,44,1,84.3,81.3,65.5,146.7,1325,2429,2.39,1.87,4.26,2.32,4.18,2.22,1.72,3.94,2.14,3.86,21,38.0,44,1,0,328,301,98,783,362,327,4,4,0,2000,540,522,50.8
Manchester Utd,28,26.3,54.7,38,418,"3,420",38.0,65,40,105,56,9,12,77,4,61.4,52.0,39.6,91.6,801,1668,1.71,1.05,2.76,1.47,2.53,1.62,1.04,2.66,1.37,2.41,28,38.0,77,4,2,433,397,90,638,355,347,11,6,3,1969,687,550,55.5
Newcastle Utd,24,26.9,40.4,38,418,"3,420",38.0,41,33,74,40,1,3,57,2,39.1,36.7,27.4,64.1,467,985,1.08,0.87,1.95,1.05,1.92,1.03,0.72,1.75,0.97,1.69,24,38.0,57,2,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2
Southampton,30,25.4,43.4,38,418,"3,420",38.0,44,27,71,40,4,5,75,3,46.9,43.4,29.3,72.7,603,1333,1.16,0.71,1.87,1.05,1.76,1.23,0.77,2.00,1.14,1.91,30,38.0,75,3,2,420,341,61,666,549,428,4,3,3,2053,767,873,46.8
Tottenham,28,26.8,59.0,38,418,"3,420",38.0,66,47,113,62,4,4,58,3,54.9,51.8,39.1,90.9,840,1744,1.74,1.24,2.97,1.63,2.87,1.44,1.03,2.47,1.36,2.39,28,38.0,58,3,1,376,364,74,643,325,373,3,5,3,2107,599,611,49.5
Watford,25,28.5,46.7,38,418,"3,420",38.0,51,39,90,50,1,1,80,4,48.2,47.5,34.8,82.3,588,1294,1.34,1.03,2.37,1.32,2.34,1.27,0.92,2.19,1.25,2.17,25,38.0,80,4,1,433,382,89,570,428,391,1,5,3,2021,753,797,48.6
West Ham,26,27.6,48.6,38,418,"3,420",38.0,51,33,84,46,5,5,59,1,47.6,43.8,34.1,77.9,731,1478,1.34,0.87,2.21,1.21,2.08,1.25,0.90,2.15,1.15,2.05,26,38.0,59,1,0,331,388,71,631,457,393,5,5,1,2104,636,620,50.6
Wolves,21,26.1,46.8,38,418,"3,420",38.0,46,35,81,42,4,4,73,1,52.1,49.0,39.4,88.4,743,1350,1.21,0.92,2.13,1.11,2.03,1.37,1.04,2.41,1.29,2.33,21,38.0,73,1,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5
