team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,30,27.2,57.2,38,418,"3,420",38.0,96,68,164,89,7,10,80,2,83.5,75.6,58.9,134.5,978,1867,2.53,1.79,4.32,2.34,4.13,2.20,1.55,3.75,1.99,3.54,30,38.0,80,2,1,534,518,50,767,418,351,9,6,3,2145,624,500,55.5
Bologna,31,27.2,52.6,38,418,"3,420",38.0,48,31,79,43,5,6,109,7,56.9,52.2,41.3,93.5,799,1672,1.26,0.82,2.08,1.13,1.95,1.50,1.09,2.58,1.37,2.46,31,38.0,109,7,3,595,567,85,733,412,338,6,8,1,1903,644,666,49.2
Brescia,32,25.6,40.6,38,418,"3,420",38.0,34,22,56,30,4,4,95,6,43.4,40.2,28.8,69.0,537,1241,0.89,0.58,1.47,0.79,1.37,1.14,0.76,1.90,1.06,1.82,32,38.0,95,6,3,504,583,68,641,361,273,3,11,3,1768,498,602,45.3
Cagliari,33,27.4,45.7,38,418,"3,420",38.0,50,34,84,46,4,6,108,6,41.8,37.1,32.0,69.0,662,1288,1.32,0.89,2.21,1.21,2.11,1.10,0.84,1.94,0.98,1.82,33,38.0,108,6,3,534,449,56,762,337,338,3,9,3,1836,516,691,42.8
Fiorentina,33,25.1,47.4,38,418,"3,420",38.0,48,30,78,39,9,11,105,5,53.6,45.4,34.5,79.8,857,1446,1.26,0.79,2.05,1.03,1.82,1.41,0.91,2.32,1.19,2.10,33,38.0,105,5,3,546,500,50,726,347,333,8,11,0,1926,458,491,48.3
Genoa,34,26.8,49.5,38,418,"3,420",38.0,46,28,74,35,11,16,107,10,48.7,36.2,27.6,63.7,583,1280,1.21,0.74,1.95,0.92,1.66,1.28,0.73,2.01,0.95,1.68,34,38.0,107,10,5,571,514,57,723,385,335,12,9,2,1828,600,583,50.7
Hellas Verona,30,26.1,49.8,38,418,"3,420",38.0,45,27,72,37,8,9,87,7,50.5,43.6,34.5,78.1,728,1575,1.18,0.71,1.89,0.97,1.68,1.33,0.91,2.24,1.15,2.06,30,38.0,87,7,2,555,490,91,750,398,290,7,9,1,2146,718,783,47.8
Inter,29,27.7,54.2,38,418,"3,420",38.0,80,57,137,70,10,11,104,6,69.4,60.8,44.0,104.7,797,1820,2.11,1.50,3.61,1.84,3.34,1.83,1.16,2.98,1.60,2.76,29,38.0,104,6,3,563,450,96,790,370,287,10,4,1,1862,515,470,52.3
Juventus,30,28.6,58.1,38,418,"3,420",38.0,73,47,120,60,13,14,87,3,71.1,60.1,45.5,105.6,879,1746,1.92,1.24,3.16,1.58,2.82,1.87,1.20,3.07,1.58,2.78,30,38.0,87,3,2,508,486,73,698,370,318,10,12,0,1811,432,338,56.1
Lazio,27,27.9,50.4,38,418,"3,420",38.0,77,45,122,62,15,18,99,2,68.0,53.9,42.5,96.4,935,1668,2.03,1.18,3.21,1.63,2.82,1.79,1.12,2.91,1.42,2.54,27,38.0,99,2,1,462,399,71,741,378,311,12,9,1,1921,450,515,46.6
