team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,30,28.7,42.8,38,418,"3,420",38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,939,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68,30,38.0,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,58.0
Athletic Club,27,26.6,49.9,38,418,"3,420",38.0,43,31,74,39,4,5,82,3,42.8,38.9,31.0,70.0,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.94,1.02,1.84,27,38.0,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,52.2
Atlético Madrid,25,27.3,52.3,38,418,"3,420",38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.00,1.39,1.07,2.46,1.24,2.31,25,38.0,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4
Barcelona,25,26.4,65.5,38,418,"3,420",38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.00,3.34,1.94,1.40,3.33,1.77,3.16,25,38.0,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5
Betis,25,27.9,53.6,38,418,"3,420",38.0,50,35,85,42,8,11,93,8,49.1,40.6,33.4,74.0,694,1442,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.95,25,38.0,93,8,4,521,483,65,586,452,314,9,10,3,1938,613,628,49.4
Cádiz,34,28.8,34.8,38,418,"3,420",38.0,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37,34,38.0,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7
Celta Vigo,30,26.6,53.3,38,418,"3,420",38.0,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15,30,38.0,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7
Eibar,30,28.2,49.3,38,418,"3,420",38.0,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79,30,38.0,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8
Elche,30,28.1,47.5,38,418,"3,420",38.0,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,501,929,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.30,30,38.0,99,3,2,527,456,51,672,386,335,1,10,1,1811,488,539,47.5
Getafe,31,26.7,43.3,38,418,"3,420",38.0,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1.00,0.91,0.62,1.53,0.80,1.42,31,38.0,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47.0
Granada,34,27.4,41.4,38,418,"3,420",38.0,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.70,1.79,0.98,1.68,34,38.0,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2
Huesca,27,28.0,48.3,38,418,"3,420",38.0,32,23,55,29,3,4,69,2,38.7,35.9,26.6,62.5,617,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.70,1.72,0.94,1.64,27,38.0,69,2,1,528,518,101,824,437,322,2,5,2,1876,580,598,49.2
Levante,29,28.0,52.2,38,418,"3,420",38.0,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,621,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72,29,38.0,68,1,0,509,397,69,697,432,283,5,4,2,2023,455,522,46.6
Osasuna,28,27.9,43.2,38,418,"3,420",38.0,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57,28,38.0,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3
Real Madrid,30,27.9,59.3,38,418,"3,420",38.0,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3.00,1.62,1.25,2.87,1.56,2.80,30,38.0,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,53.8
