team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Angers,31,27.9,46.4,38,418,"3,420",38.0,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.10,0.70,1.79,0.97,1.67,31,38.0,65,2,1,461,483,39,662,443,376,6,8,1,2074,477,562,45.9
Bordeaux,28,27.6,49.8,38,418,"3,420",38.0,41,32,73,37,4,4,78,4,43.5,40.4,31.4,71.7,644,1303,1.08,0.84,1.92,0.97,1.82,1.14,0.83,1.97,1.06,1.89,28,38.0,78,4,2,465,480,49,609,503,329,3,8,1,1964,570,501,53.2
Brest,26,24.9,49.3,38,418,"3,420",38.0,48,31,79,45,3,4,62,4,50.0,46.8,36.0,82.8,685,1438,1.26,0.82,2.08,1.18,2.00,1.32,0.95,2.26,1.23,2.18,26,38.0,62,4,1,491,434,59,720,463,355,4,11,2,1928,693,560,55.3
Dijon,33,25.7,46.2,38,418,"3,420",38.0,25,15,40,22,3,5,76,5,33.7,29.9,22.6,52.6,527,1203,0.66,0.39,1.05,0.58,0.97,0.89,0.60,1.48,0.79,1.38,33,38.0,76,5,1,515,421,54,569,471,367,4,10,2,2041,530,627,45.8
Lens,27,26.4,51.1,38,418,"3,420",38.0,53,35,88,43,10,12,94,7,56.4,47.3,37.8,85.1,743,1567,1.39,0.92,2.32,1.13,2.05,1.48,0.99,2.48,1.24,2.24,27,38.0,94,7,5,541,465,49,760,508,358,11,11,3,2004,644,630,50.5
Lille,21,25.4,53.8,38,418,"3,420",38.0,62,39,101,57,5,5,68,2,48.5,44.5,34.4,79.0,713,1660,1.63,1.03,2.66,1.50,2.53,1.28,0.91,2.18,1.17,2.08,21,38.0,68,2,1,487,450,64,637,424,370,5,2,2,2216,572,558,50.6
Lorient,27,26.8,44.6,38,418,"3,420",38.0,49,26,75,40,9,10,69,3,48.6,41.4,30.8,72.2,572,1169,1.29,0.68,1.97,1.05,1.74,1.28,0.81,2.09,1.09,1.90,27,38.0,69,3,1,475,469,46,606,527,424,9,11,1,2064,507,586,46.4
Lyon,29,25.8,54.9,38,418,"3,420",38.0,76,46,122,65,11,11,66,10,81.4,73.0,54.9,127.9,804,1991,2.00,1.21,3.21,1.71,2.92,2.14,1.45,3.59,1.92,3.37,29,38.0,66,10,3,484,439,63,710,408,344,11,7,2,2139,528,424,55.5
Marseille,31,27.2,53.6,38,418,"3,420",38.0,53,45,98,49,4,7,98,9,47.0,41.6,36.5,78.0,606,1499,1.39,1.18,2.58,1.29,2.47,1.24,0.96,2.20,1.09,2.05,31,38.0,98,9,2,500,473,52,647,442,391,3,3,1,1898,552,534,50.8
Metz,27,25.7,45.2,38,418,"3,420",38.0,42,28,70,35,7,11,84,4,44.1,35.8,28.3,64.0,744,1221,1.11,0.74,1.84,0.92,1.66,1.16,0.74,1.90,0.94,1.68,27,38.0,84,4,1,516,474,50,659,572,417,6,13,1,2098,601,612,49.5
