team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Augsburg,29,26.8,44.3,34,374,"3,060",34.0,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162,1.03,0.76,1.79,1.00,1.76,1.02,0.74,1.76,0.97,1.71,29,34.0,78,5,2,351,373,59,578,341,300,2,5,2,1441,529,491,51.9
Bayern Munich,29,27.7,67.9,34,374,"3,060",34.0,96,66,162,87,9,10,48,1,81.7,74.0,59.7,133.7,831,2138,2.82,1.94,4.76,2.56,4.50,2.40,1.76,4.16,2.18,3.93,29,34.0,48,1,0,295,341,56,612,232,300,6,2,0,1665,418,344,54.9
Bochum,27,28.0,45.5,34,374,"3,060",34.0,32,23,55,31,1,3,71,2,41.8,39.3,30.0,69.4,378,1090,0.94,0.68,1.62,0.91,1.59,1.23,0.88,2.11,1.16,2.04,27,34.0,71,2,1,465,293,63,679,294,360,3,6,0,1447,744,665,52.8
Dortmund,28,26.6,58.9,34,374,"3,060",34.0,69,56,125,64,5,6,71,6,61.2,56.5,47.4,103.9,701,1563,2.03,1.65,3.68,1.88,3.53,1.80,1.39,3.19,1.66,3.06,28,34.0,71,6,3,330,343,43,698,249,319,5,4,1,1480,474,418,53.1
Eint Frankfurt,26,24.9,49.7,34,374,"3,060",34.0,68,47,115,65,3,5,55,1,65.1,61.4,45.2,106.6,585,1347,2.00,1.38,3.38,1.91,3.29,1.91,1.33,3.24,1.81,3.13,26,34.0,55,1,1,341,304,57,539,287,341,2,3,2,1486,467,437,51.7
Freiburg,26,27.1,48.7,34,374,"3,060",34.0,46,35,81,46,0,4,54,2,44.3,41.1,30.5,71.7,442,1129,1.35,1.03,2.38,1.35,2.38,1.30,0.90,2.20,1.21,2.11,26,34.0,54,2,1,316,325,61,589,276,317,3,4,1,1368,596,608,49.5
Gladbach,26,26.5,49.6,34,374,"3,060",34.0,53,39,92,49,4,5,53,3,50.6,46.6,37.7,84.3,530,1112,1.56,1.15,2.71,1.44,2.59,1.49,1.11,2.60,1.37,2.48,26,34.0,53,3,2,339,326,65,617,317,284,5,8,2,1308,530,473,52.8
Heidenheim,27,26.8,43.5,34,374,"3,060",34.0,37,26,63,32,5,5,66,1,40.3,36.3,28.6,64.9,516,974,1.09,0.76,1.85,0.94,1.71,1.18,0.84,2.02,1.07,1.91,27,34.0,66,1,0,385,390,50,581,312,356,3,6,0,1420,553,646,46.1
Hoffenheim,35,26.4,48.7,34,374,"3,060",34.0,46,30,76,43,3,3,66,2,42.6,40.3,32.7,73.0,481,1218,1.35,0.88,2.24,1.26,2.15,1.25,0.96,2.22,1.19,2.15,35,34.0,66,2,0,391,366,70,732,291,336,2,6,3,1466,577,588,49.5
Holstein Kiel,27,25.6,43.6,34,374,"3,060",34.0,49,29,78,45,4,5,77,4,39.8,35.9,26.7,62.6,359,875,1.44,0.85,2.29,1.32,2.18,1.17,0.79,1.96,1.06,1.84,27,34.0,77,4,2,407,350,44,482,294,328,4,7,3,1267,546,607,47.4
